type,title,description,country,author,link
book,The Islamic State,Translated from the Arabic edition from the Sunni political party.,,Hizb ut-Tahrir,http://www.hizb-ut-tahrir.org/PDF/EN/en_books_pdf/IslamicState.pdf
book,Al-Qaeda from Within (Part 1),"Abu-Jandal (Nasir al-Bahri), Bin Laden's personal guard interviewed on Saudi ""coup""against Salafi youth. Includes Part 1 through Part 3.",,Khalid al-Hamadi,/static/gtr_site/alqaedawithinpt1.pdf
book,Al-Qaeda from Within (Part 2),"Abu-Jandal (Nasir al-Bahri), Bin Laden's personal guard interviewed on first meeting with Bin Laden and al-Qaeda beginnings. Includes Part 4 through Part 6.",,Khalid al-Hamadi,/static/gtr_site/alqaedawithinpt2.pdf
book,Al-Qai'da From Within (Part 3),"Abu-Jandal (Nasir al-Bahri), Bin Laden's personal guard interviewed on Al-Qai'da. Includes Parts 7 through Part 10.",,Khalid al-Hamad,/static/gtr_site/alqaedawithinpt3.pdf
book,Al-Zarqawi...The Second Generation of Al-Qai'da (Parts 1-3),Includes testimonies by people who knew and accompanied Al-Zarqawi at various stages of his life.,,Fu'ad Husayn,/static/gtr_site/alzarqawi2ndgenpart1.pdf
book,"Al-Zarqawi...The Second Generation of Al-Qai'da (Parts 4-7, 9)",Includes testimonies by people who knew and accompanied Al-Zarqawi at various stages of his life.,,Fu'ad Husayn,/static/gtr_site/alzarqawi2ndgenpart2.pdf
book,Al-Zarqawi...The Second Generation of Al-Qai'da (Parts 10-15),Includes testimonies by people who knew and accompanied Al-Zarqawi at various stages of his life.,,Fu'ad Husayn,/static/gtr_site/alzarqawi2ndgenpart3.pdf
book,Authority: Shari'ah View and Realistic Vision (Parts 1-4),"The book which Al-Sharq al-Awsat newspaper publishes in parts, offers revisions on fundamentalist thinking and governing.",,Al-Jama'ah al-Islamiyah,/static/gtr_site/authoritypart1.pdf
book,Authority: Shari'ah View and Realistic Vision (Parts 5-9),"The book which Al-Sharq al-Awsat newspaper publishes in parts, offers revisions on fundamentalist thinking and governing.",,Al-Jama'ah al-Islamiyah,/static/gtr_site/authoritypart2.pdf
book,Catastrophic Terrorism: Elements of a National Policy,"This report is a product of the Catastrophic Terrorism Study Group, a nine-month long collaboration of faculty from Harvard University, the Massachusetts Institute of Technology...",,"Ashton B. Carter, John M. Deutch and Philip D. Zelikow",http://belfercenter.hks.harvard.edu/publication/2978/catastrophic_terrorism.html
book,Compilation of Usama Bin Laden Statements,A compilation of Osama Bin Laden statments from 1994 to January 2004 published by FBIS.,,Osama Bin Laden,http://www.fas.org/irp/world/para/ubl-fbis.pdf
book,Concepts of Hizb ut-Tahrir,"Translated from the Arabic edition ""Mafahim Hizb ut-Tahrir"" from the Sunni political party.",,Hizb ut-Tahrir,http://www.hizb-ut-tahrir.org/PDF/EN/en_books_pdf/Concepts.pdf
book,Defence of Muslim Lands,"Discusses the legal ruings of jihad, different types of jihad and condition in which jihad becomes an obligation for Muslims.",,Abdullah Azzam,https://islamfuture.wordpress.com/2009/08/15/defence-of-the-muslim-lands/
book,Democracy: A Religion,This document was revised after being downloaded from al-Maqdisi's webpage and translated into English.,,Abu Muhammad 'Aasim al-Maqdisi,/static/gtr_site//DemocracyReligion.pdf
book,Dying to Win: The Strategic Logic of Suicide Terrorism,"Pape provides a groundbreaking demographic profile of modern suicide terrorist attackers and examines the early practitioners of this guerrilla tactic. Link to TRIPOD, for Tri-Co students.",,Robert A. Pape,http://tripod.brynmawr.edu/find/Record/.b3439389
book,"Education, Poverty, and Terrorism: Is There a Causal Connection?","An article examining the connection beween education, poverty and terrorism.",,Alan B. Krueger and Jitka Maleckova,http://www.nber.org/papers/w9074
book,Face to Face With Political Islam,"Burgat argues that Islam's restoration of its pre-colonization culture is not inherently at odds with democracy, tolerance, or progress. Link to Tripod for Tri-Co students.",,François Burgat,http://tripod.brynmawr.edu/find/Record/.b2668116
book,Global Political Islam,"Mandaville discusses the history of Islam and politics, the formation of Islamism as political strategy and Muslim transnationalism. Link to TRIPOD, for Tri-Co students.",,Peter Mandaville,http://tripod.brynmawr.edu/find/Record/.b3303410
book,How Terrorist Groups End: Lessons for Encountering al Qa'ida,"A major study of the success and failure of terrorist groups over time. Includes a large table of all organizations in the dataset, giving organization name, operating years, peak size...""",,Seth G. Jones and Martin C. Libicki,http://www.rand.org/pubs/monographs/MG741-1.html
book,Jihad: The Trail of Political Islam,"The study, which is based on documents, interviews, and archival material is divided into two parts. Kepel follows the history and geography of this political-religious phenomenon. Link in Tripod.",,Gilles Kepel,http://tripod.brynmawr.edu/find/Record/.b2571797
book,Join the Caravan,"Written in the late 1980's, the piece urges Muslims to establish a base for Islam in Afghanistan by expelling the Russians.",,Abdullah Azzam,http://archive.org/stream/JoinTheCaravan/JoinTheCaravan_djvu.txt
book,Letter from al-Zawahiri to Zarqawi,"Zawahiri's letter to Zarqawi from July 9, 2005.",,Ayman al-Zawahiri,/static/gtr_site/letterfromzarqawitoatiyah.pdf
book,Millat Ibrahim,"Translated as ""The Religion of Ibrahim"".",,Abu Muhammad 'Aasim al-Maqdisi,/static/gtr_site/MillatIbraheem.pdf
book,"September 11th ""Raid"" Commemorated","This book consists of four essays by Sayf al-Din al-Ansari, Abu Ubayd al-Qirshi, Abu Ayman al-Hilali, and Abu Sa'd al-Amili. It was translated into English by the Foreign Broadcasting Service (FBIS).",,"Sayf al-Din al-Ansari, Abu Ubayd al-Qirshi, Abu Ayman al-Hilali, and Abu Sa",/static/gtr_site/qaeda_celebrate_911.html
book,Structuring of a Party,Translated from the Arabic edition from the Sunni political party Hizb ut-Tahrir,,Taqiuddin an-Nabhani,http://www.hizb-ut-tahrir.org/PDF/EN/en_books_pdf/strutureparty.pdf
book,The Economic System of Islam,Translated from the Arabic edition from the Sunni political party Hizb ut-Tahrir.,,Taqiuddin an-Nabhani,http://www.hizb-ut-tahrir.org/PDF/EN/en_books_pdf/economic_system.pdf
book,The Exoneration,Full text translation of Zawahiri's book written in 2008.,,Ayman Al-Zawahiri,http://www.fas.org/irp/dni/osc/exoneration.pdf
book,The Minbar of Tawhed and Jihad,"This is an English translation of materials from Abu Muhammad Al-Maqdisi’s Online Library of Jihadi texts. Search phrase ""Minbar Al-Tawhid Wal Jihad"".",,Abu Muhammad Al-Maqdisi,http://www.memrijttm.org/
book,The Operation Of 11 Rabi Al-Awwal: The East Riyadh Operation and Our War With the United States and Its Agents,This book is regarding the May 12 Riyadh Operation. It exposes and refutes propaganda and lies spead by Taghuti state of Saudi Arabia. Link to PDF file.,,Abu Raudha,http://triceratops.brynmawr.edu/dspace/bitstream/handle/10066/5129/AQS20030903.pdf?sequence=3
book,The Social System in Islam,A translation of the Arabic edition from the Sunni political party Hizb ut-Tahrir.,,Taqiuddin an-Nabhani,http://www.hizb-ut-tahrir.org/PDF/EN/en_books_pdf/socialsystem.pdf
book,The Story of the Afghan-Arabs Part Five,From the newspaper Al-Sharq al-Awsat (June 2005). The writer reveals a number of secrets and explains many ambiguities in the activities of the Taliban and Al-Qaeda.,,Unknown,http://www.aawsat.net/2005/07/article55270685/the-afghan-arabs-part-five
book,The Story of the Afghan-Arabs Part Four,From the newspaper Al-Sharq al-Awsat (June 2005). The writer reveals a number of secrets and explains many ambiguities in the activities of the Taliban and Al-Qaeda.,,Unknown,http://www.aawsat.net/2005/07/article55270861/the-afghan-arabs-part-four
book,The Story of the Afghan-Arabs Part One,From the newspaper Al-Sharq al-Awsat (June 2005). The writer reveals a number of secrets and explains many ambiguities in the activities of the Taliban and Al-Qaeda.,,Unknown,http://www.aawsat.net/2005/06/article55270974/the-afghan-arabs-part-one
book,The Story of the Afghan-Arabs Part Three,From the newspaper Al-Sharq al-Awsat (June 2005). The writer reveals a number of secrets and explains many ambiguities in the activities of the Taliban and Al-Qaeda.,,Unknown,http://www.aawsat.net/2005/07/article55270900/the-afghan-arabs-part-three
book,The Story of the Afghan-Arabs Part Two,From the newspaper Al-Sharq al-Awsat (June 2005). The writer reveals a number of secrets and explains many ambiguities in the activities of the Taliban and Al-Qaeda.,,Unknown,http://www.aawsat.net/2005/07/article55270953/the-afghan-arabs-part-two
book,The Strategy and Bombings of Al-Qa'ida: Errors and Perils,Published by the Arabic newspaper Al-Sharq al-Awsat. The leaders of the Egyptian Al-Jama'ah al-Islamiyah criticize Al-Qai'da's strategy and bombings.,,Al-Jama'ah al-Islamiyah,/static/gtr_site/strategyandbombings.pdf
book,The System of Islam,A translation of the Arabic edition from the Sunni political party Hizb ut-Tahrir.,,Taqiuddin an-Nabhani,http://www.hizb-ut-tahrir.org/PDF/EN/en_books_pdf/system_of_islam.pdf
book,This Is Our Aqeedah,A translation of al-Maqdisi's material.,,Abu Muhammad al-Maqdisi,http://www.missionislam.com/knowledge/ouraqeedah.htm
book,Transcript: Important Commandments to the Mujahidin and in Reply to the Defeatists,Audio transcript of a sixty minute tape made by important al Qaeda in Iraq leader Abu Musab al-Zarqawi.,,Abu Musab al-Zarqawi,http://thesis.haverford.edu/dspace/bitstream/handle/10066/4663/ZAR20040705.pdf
book,Harmony Program Documents,"Links to Harmony Program documents, primary source documents, and analysis regarding al-Qaeda, related movements, and additional security threats.",,Harmony Program at Combatting Terrorism Center at West Point (CTC),https://www.ctc.usma.edu/programs-resources/harmony-program
book,Dabiq Magazines,"An archive of the Islamic State's (ISIS) magazine 'Dabiq,' produced by al-Hayat Media Center",,Aaron Y. Zelin,http://jihadology.net/category/dabiq-magazine/
book,Bin Ladin's Bookshelf,"In May 2015, March 2016, and January 2017 the ODNI released the second, third, and fourth sets of numerous documents recovered during the raid of the compound hiding bin Ladin.",,Office of the Director of National Intelligence (ODNI),http://www.dni.gov/index.php/resources/bin-laden-bookshelf?start=1
book,Harmony Program: Letters from Abbottabad: bin Ladin Sidelined?,"In 2012, The Harmony Program released the first 17 de-classified documents of internal al-Qaeda communications, primarily authored by Usama bin Ladin, from 2006-2011",,Don Rassler et. al.,https://www.ctc.usma.edu/posts/letters-from-abbottabad-bin-ladin-sidelined
book,The Story of the Afghan-Arabs Part Six,From the newspaper Al-Sharq al-Awsat (2005). The writer reveals a number of secrets and explains many ambiguities in the activities of the Taliban and Al-Qaeda.,,Unknown,http://www.aawsat.net/2005/07/article55270609/the-afghan-arabs-part-six
book,Fatwa on IS attack of Mujahideen,"Fatwa by Jihadi scholars ""regarding the IS group's attack on the Mujahideen""",,"Sheikh Abu Qatada al Filistini, Sheikh Abu Muhammad al Maqdisi,",https://pietervanostaeyen.wordpress.com/2015/06/03/fatwa-by-some-of-the-scholars-of-jihad-regarding-the-is-groups-attack-on-the-mujahideen/
book,Fatwa on IS attack of Mujahideen,"Fatwa by Jihadi scholars ""regarding the IS group's attack on the Mujahideen""",,"Sheikh Sadiq al Hashimi, Sheikh Muslih al Alyani,",https://pietervanostaeyen.wordpress.com/2015/06/03/fatwa-by-some-of-the-scholars-of-jihad-regarding-the-is-groups-attack-on-the-mujahideen/
book,Fatwa on IS attack of Mujahideen,"Fatwa by Jihadi scholars ""regarding the IS group's attack on the Mujahideen""",,"Sheikh Abu Sulayman al Ustrali, Sheikh Abu Azzam al Jazrawi,",https://pietervanostaeyen.wordpress.com/2015/06/03/fatwa-by-some-of-the-scholars-of-jihad-regarding-the-is-groups-attack-on-the-mujahideen/
book,Fatwa on IS attack of Mujahideen,"Fatwa by Jihadi scholars ""regarding the IS group's attack on the Mujahideen""",,"Sheikh Al Mu’tasim Billah al Madani, & Sheikh Dr Abdullah al Muhaysini",https://pietervanostaeyen.wordpress.com/2015/06/03/fatwa-by-some-of-the-scholars-of-jihad-regarding-the-is-groups-attack-on-the-mujahideen/
book,The al-Qaeda Franchise:The Expansion of al-Qaeda and its Consequences,Authors argues the reasons al-Qaeda utilized a branching-out strategy and examines numerous case studies. Link in Tripod for Tri-Co.,,Barak Mendelsohn,https://tripod.brynmawr.edu/find/Record/.b4376167
book,Combating Jihadism: American Hegemony and Interstate Cooperation in the War on Terrorism,Mendelsohn argues that state cooperation generated by a hegemonic state is necessary in order to fight jihad effectively. He grounds his argument in shared norms and rules.,,Barak Mendelsohn,https://tripod.brynmawr.edu/find/Record/.b3676416
book,Kalamullah,"Database of Islamic Audios, Lectures, Talks, Khutbahs, Videos, Nasheeds, Articles, Books etc.",,various,http://www.kalamullah.com/books.html
data-source,Iraq Body Count,Iraq Body Count is an ongoing human security project which maintains and updates the world’s largest public database of violent civilian deaths during and since the 2003 invasion. The count encompasses non-combatants killed by military or paramilitary act,,,http://www.iraqbodycount.org/
data-source,Sutton Index of Deaths,"The site ""contains information on the deaths that have resulted from the conflict in Ireland between 14 July 1969 and 31 December 2001. The information has been provided by Malcolm Sutton and is an updated and revised version of the material that was firs",,,http://cain.ulst.ac.uk/sutton/
data-source,Onset and Duration of Intrastate Conflict,The web page offers three datasets on intrastate conflict: A country-year file and a calendar-time file prepared for onset analysis and a calendar-time file suitable for duration analysis.,,,http://www.prio.no/CSCW/Datasets/Armed-Conflict/Onset-and-Duration-of-Intrastate-Conflict/
data-source,Acled Armed Conflict Location and Event Data,ACLED (Armed Conflict Location and Events Dataset) is designed for disaggregated conflict analysis and crisis mapping. This dataset codes the location of all reported conflict events in 50 countries in the developing world. Data are currently being coded,,,http://www.acleddata.com/
data-source,Battle Deaths Data,This project maintains a dataset on battle deaths (soldiers and civilians killed in combat) in state-based armed conflicts. The original release in 2005 covered the period 1946–2002.,,,http://www.prio.no/CSCW/Datasets/Armed-Conflict/Battle-Deaths/
data-source,Running on Faith,Data for Jo-Eystein Lindberg's study on effect of religious cleavages on the intensity and duration of internal conflicts.,,,https://www.prio.org/Data/Armed-Conflict/Data-on-religious-cleavages-and-civil-war/
data-source,Conflict Site Dataset,The Conflict Site Dataset is an extention to the UCDP/PRIO Armed Conflicts Dataset that provides coordinates for the conflict zones and lists of countries in which the conflicts were located.,,,http://www.ucdp.uu.se/gpdatabase/search.php
data-source,"Legislation Related to the Attack on September 11, 2001",This site started in September 2001 as a way of keeping the public readily apprised of legislation related to the terrorist attack on the United States that month. The site has not been updated since the 107th Congress.,,,http://thomas.loc.gov/home/terrorleg.htm
data-source,9/11 Commission Final Report,"The Commission’s Final Report provides a full and complete account of the circumstances surrounding the September 11th, 2001, terrorist attacks, including preparedness for and the immediate response to the attacks. It also includes recommendations design	Security	http://www.gpo.gov/fdsys/search/pagedetails.action?granuleId=&packageId=GPO-911REPORT&fromBrowse=true	Government Source	Reports/General Data
Terrorism and Crime Studies	The Federal Research Division of the Library of Congress provides data on terrorism. 	Security	http://www.loc.gov/rr/frd/terrorism.html	Government Source	Reports/General Data
Meir Amit Intelligence and Terrorism Information Center	The Intelligence and Terrorism Information Center opened in 2001. It is part of the Israel Intelligence Heritage & Commemoration Center (IICC) which focuses on issues concerning intelligence and terrorism.""",,,http://www.terrorism-info.org.il/en/index.aspx
data-source,Jane's Terrorism and Insurgency Centre,"Jane’s Terrorism and Insurgency Centre delivers a comprehensive view of global terrorist and insurgent events, groups, trends and developments, with up-to-date news and expert analysis, as well as powerful visualization tools to aid research & analysis.	Security	http://www.janes.com/products/janes/security/terrorism-insurgency-intelligence-centre/index.aspx	Other	Reports/General Data
Jane's Terrorism and Insurgency Centre	Requires subscription. 	Security	http://www.janes.com/products/janes/security/terrorism-insurgency-intelligence-centre/index.aspx	Other	Reports/General Data
Investigative Project on Terrorism	The Investigative Project on Terrorism (IPT) is a non-profit research group founded by Steven Emerson in 1995. It is recognized as the world's most comprehensive data center on radical Islamic terrorist groups.""",,,http://www.investigativeproject.org/profile/all/
data-source,GCC Security and Terrorism Issues Research Program,"GCC Security and Terrorism is a research program of the Gulf Research Center. Data includes articles, books, book reviews, facts and figures, newsletters, periodicals, research papers, etc.",,,http://www.grc.net/?frm_action=detail&PK_ID=17&set_lang=en&frm_module=researchprograms&sec=Research+Programs-Relations&sec_type=h&override=Research+Program+Detail&CAT_ID=5
data-source,Counterterrorism and Homeland Security,"Provides books, book chapters, Cato studies, articles, newsletters, legal briefs and opinion and commentary.",,,http://www.cato.org/research/counterterrorism-homeland-security
data-source,Columbia University World Trade Center Archive Project,"The resources represent a growing collection of responses to the World Trade Center attack, including archived webcasts of talks featuring Columbia's foremost experts. In addition, special collections of resources on terrorism and the September 11 traged	Security	http://ci.columbia.edu/ci/eresources/wtc.html	Other	Reports/General Data
Suicide Attack Database	The Chicago Project on Security and Terrorism maintains a searchable database on all suicide attacks from 1982 to 2015 and additional years will be added. The database includes information about the location of attacks, the target type, the weapon used,",,,http://cpostdata.uchicago.edu/search_new.php
data-source,Charity and Security Network Resource Library,"The Charity and Security Network was ""launched in November 2008 by charities, grantmakers, faith-based and advocacy groups to eliminate unnecessary and counterproductive barriers to legitimate charitable work found in current counterterrorism measures.""",,,http://www.charityandsecurity.org/resources?type=analysis&tid=All
data-source,International Republican Institute Public Opinion Polls,The IRI provides public opinion polls from the Middle East and North Africa. Latest survey results from 2015.,,,http://www.iri.org/news-and-resource?topic=15&region=547
data-source,Stockholm International Peace Research Institute (SIPRI) Databases,"The following datasets provide reliable, specialized military data: arms transfers, arms industry, arms exports, multilateral peace operations, military expenditure, and financial value of the global arms trade.",,,http://www.sipri.org/databases
data-source,"The Heritage Foundation: Global U.S. Troop Deployment Database, 1950-2005",Time series data on US troop deployments by year and country.,,,http://www.heritage.org/research/reports/2006/05/global-us-troop-deployment-1950-2005
data-source,CRED International Emergency Disasters Database,"The Centre for Research on the Epidemiology of Disaster (CRED) provides data on natural and technological disasters worldwide with fatalities and number affected. Requirement for inclusion: at least 10 fatalities, 100 affected persons, declaration of a st",,,http://www.emdat.be/database
data-source,The Correlates of War Project,"Comprehensive database of: war and interstate disputes, state system capacity, material capabilities, alliance, diplomacy, trade, intergovernmental organizations, terrority.",,,http://www.correlatesofwar.org/
data-source,The Military Balance,The Military Balance is the International Institute for Strategic Studies’ annual assessment of the military capabilities and defence economics of 170 countries world-wide. Note: Online version for subscribers only.,,,http://www.iiss.org/publications/military-balance/
data-source,American Politics: Foreign Affairs and Defense,"Provides illustrated concepts, facts, figures, cartoons, image features and video features.",,,http://www.laits.utexas.edu/gov310/FAD/
data-source,Institute for National Security Studies (Tel Aviv): Middle East Military Balance,"Data files on 21 countries surveyed. Includes ""information about the following topics: major arms sales and procurement; arms production; non-conventional capabilities; space assets; order of battle; and major weapon systems for the ground forces, air for",,,http://www.inss.org.il/weapons.php?cat=283
data-source,Foreign Policy Magazine Terrorism Index,A survey of 100 American foreign policy experts on questions of current U.S. policy. Note: Not updated since 2006. Subscription required.,,,http://web1.foreignpolicy.com/issue_julyaug_2006/TI-index/index.html
data-source,The Global Peace Index,"The GPI, produced by the Institute for Economics and Peace, is the world’s leading measure of global peacefulness. It gauges ongoing domestic and international conflict, safety and security in society, and militarisation in 153 countries by taking into a	Security	http://www.visionofhumanity.org/	Other	Reports/General Data
First Fact Database on International Relations and Security Trends	Consolidates international relations and security policy facts into a searchable database. Facts include: chronologies of conflicts and peacekeeping activities, data on arms production and trade, lists of holdings of conventional and nuclear weapons, mili	Security	http://first.sipri.org/	Other	Reports/General Data
Integrated Network for Societal Conflict Research (INSCR) Data	The following data resources were prepared by researchers associated with the Center for Systemic Peace and are generated and/or compiled using open source information. Data resources cover 163 countries and topics such as armed conflict and intervention,	Political	http://www.systemicpeace.org/inscrdata.html	Other	Reports/General Data
Integrated Network for Societal Conflict Research (INSCR) Data	The following data resources were prepared by researchers associated with the Center for Systemic Peace and are generated and/or compiled using open source information. Data resources cover 163 countries and topics such as armed conflict and intervention,	Security	http://www.systemicpeace.org/inscrdata.html	Other	Reports/General Data
Conflict and Peace Data Bank (COPDAB), 1948-1978	Daily international and domestic events or interactions, such as an international border clash or domestic press censorship. Note: Access for Haverford users but requires setting up an individual account with ICPSR. 	Security	http://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/7767?archive=ICPSR&q=Conflict+and+Peace+Data+Bank%2C+1948-1978++%28ICPSR+7767%29	Other	Reports/General Data
International Military Intervention, 1989-2005 (ICPSR)	All verified cases of international military intervention from 1989 to 2005. Note: Access for Haverford users but requires setting up an individual account with ICPSR. 	Security	http://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/21282?archive=ICPSR&q=International+Military+Intervention%2C+1989-2005+%28ICPSR+21282%29	Other	Reports/General Data
International Crisis Behavior Project, 1918-2004 (ICPSR)	Describes the sources, processes, and outcomes of all military-security crises involving states over an 86-year period. Note: Access for Haverford users but requires setting up an individual account with ICPSR. 	Security	http://www.icpsr.umich.edu/icpsrweb/ICPSR/studies/9286?archive=ICPSR&q=International+Crisis+Behavior+Project%2C+1918-2004+%28ICPSR+9286%29+	Other	Reports/General Data
World Economic Forum: Global Competitiveness Report	Assesses the comparative strengths and weaknesses of national economies. A wealth of economic indicators are divided into various categories. 	Economic	http://reports.weforum.org/global-competitiveness-report-2015-2016/	Other	Reports/General Data
World Economic Forum: Global Competitiveness Report	Includes reports from 2008-2016 within the website. The link directly leads to the 2015-2016 report. 	Economic	http://reports.weforum.org/global-competitiveness-report-2015-2016/	Other	Reports/General Data
A.T. Kearney and Foreign Policy Globalization Index	Ranks countries based on global connectedness, as measured by trade, travel, technology, and economic and political relations. This project is from 2007. Requires subscription. 	Economic	http://www.foreignpolicy.com/articles/2007/10/11/the_globalization_index_2007	Other	Reports/General Data
UNStats: Millennium Development Goal Indicators	The 48 indicators were designed to measures progress on the Millenium development goals: extreme poverty and hunger, universal primary education, gender equality, child mortality, maternal health, hiv/aids, malaria and other diseases, environmental sustai	Economic	http://mdgs.un.org/unsd/mdg/Default.aspx	International Organization	Reports/General Data
UNDP: Human Development Index	Large collection of UN development data on education, military, economy, trade, environment, health, crime, development assistance, population, gender inequality, status of international agreements. Full datasets, customized searches, and rankings availab	Economic	http://hdr.undp.org/en/statistics/	International Organization	Reports/General Data
World Bank: World Development Indicators (WDI)	Over 575 population, income, social, economic, financial, natural resources, and environmental indicators. Full dataset available with Haverford subscription. 	Economic	http://databank.worldbank.org/data/reports.aspx?source=world-development-indicators	International Organization	Reports/General Data
Doing Business Project: Ease of Doing Business Rankings	Economies are ranked on their ease of doing business, from 1 – 183. A high ranking on the ease of doing business index means the regulatory environment is more conducive to the starting and operation of a local firm. This index averages the country's per",,,http://www.doingbusiness.org/rankings
data-source,Heritage Foundation: 2012 Index of Economic Freedom,"10 indicators of trade freedom, business freedom, investment freedom, and property rights.",,,http://www.heritage.org/index/
data-source,Fraser Institute: Economic Freedom of the World,"Measures government size and regulation, legal protection, currency, and freedom of international trade. Full datasets available. Regional reports available for the Arab world.",,,http://www.freetheworld.com/
data-source,WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply and Sanitation,"Provides annual statistics (% of rural/urban populations with general/in-home access) on access to improved water and sanitation availability at national, regional, and global levels.",,,http://www.wssinfo.org/
data-source,Food and Agriculture Organization of the United Nations Statistics,"Statistics available for food deprivation and child malnutrition, food consumption and diet diversification, economic growth, poverty and employment, education and gender equality, health and sanitation, agricultural development, water, natural resources",,,http://www.fao.org/corp/statistics/en/
data-source,Millennium Challenge Corporation: Natural Resources Management Indicator,"Indicators of eco-region protection, access to improved sanitation and water, and child mortality. Rankings, dataset, methodology, and reports available. 2010 data available.",,,http://sedac.ciesin.columbia.edu/es/mcc.html
data-source,United Nations University (UNU)-WIDER: World Income Inequality Database,"The UNU-WIDER World Income Inequality Database (WIID) collects and stores information on income inequality for developed, developing, and transition countries.",,,https://www.wider.unu.edu/data
data-source,Occupational Wages Around the World (OWW) Database,Database contains occupational wage data for 161 occupations in over 150 countries from 1983 to 2008. Derived from ILO data.,,,http://data.nber.org/oww/
data-source,ILO Labor Statistics,Data and metadata for over 200 countries or territories from LABORSTA,,,http://laborsta.ilo.org/
data-source,IMF World Economic Outlook Database,"Macroeconomic data on national accounts, inflation, unemployment rates, balance of payments, fiscal indicators, trade, and commodity prices. Data, reports, and interactive map available. Provides the latest information.",,,http://www.imf.org/external/datamapper/index.php
data-source,SESRIC Basic Social and Economic Indicators,"The Statistical, Economic and Social Research and Training Centre for Islamic Countries (SESRIC) offers a database with data on 237 socio-economic variables under 17 categories for 57 Islamic countries.",,,http://www.sesric.org/baseind.php
data-source,World Database of Happiness,Wide variety of socio-economic indicators from various sources. Approx. 135 countries covered within past ten years.,,,http://worlddatabaseofhappiness.eur.nl/
data-source,Association of Religious Data Archives (ARDA): International Religious Freedom Data,"Indices: Government Regulation of Religion index (GRI), Social Regulation of Religion index (SRI), Government Favoritism of Religion index (GFI). Data collected 2006.",,,http://www.thearda.com/Archive/Files/Descriptions/IRFAGG.asp
data-source,Association of Religious Data Archives (ARDA): Cross-National Data 2005,"Data sources: 2003 US State Dept.’s International Religious Freedom Reports and other cross-national measures of interest to researchers on religion, economics, and politics, including adherent information from the World Christian Database, scales from Fr",,,http://www.thearda.com/Archive/Files/Descriptions/INTL2003.asp
data-source,Minorities at Risk (MAR),The Minorities at Risk project is a major dataset of information on minority ethnic groups worldwide.Includes qualitative and quantitative data on 212 ethnic groups worldwide.,,,http://www.mar.umd.edu/mar_data.asp
data-source,"World Bank Health, Nutrition and Population Statistics","Indicators for: population dynamics, nutrition, reproductive health, health financing, immunization, infectious disease, and HIV/AIDS. Data sources: World Bank surveys, major international organizations. Provides the latest information available.",,,http://databank.worldbank.org/Data/Views/VariableSelection/SelectVariables.aspx?source=Health%20Nutrition%20and%20Population%20Statistics
data-source,World Health Organization Global Health Observatory,"The GHO data repository contains an extensive list of indicators, which can be selected by theme or through a multi-dimension query functionality. It is the World Health Organization's main health statistics repository.",,,http://www.who.int/gho/en/
data-source,UNHCR Refugee Population: Figures at a Glance,Refugee population statistical database from the UN High Commissioner on Refugees. Provides the latest data available.,,,http://www.unhcr.org/en-us/figures-at-a-glance.html
data-source,UN Population Division,"Various population data available, mostly in charts and reports. Provides the latest data available.",,,http://www.un.org/esa/population/unpop.htm
data-source,UNICEF Statistics,"Reports by country include basic indicators: nutrition, health, HIV/AIDS, education, demographics, economics, women, child protection, rate of progress. Provides the latest data available.",,,http://www.unicef.org/infobycountry/index.html
data-source,UNESCO Data Center,"The Data Center contains over 1,000 types of indicators and raw data on education, literacy, science and technology, culture and communication.",,,http://stats.uis.unesco.org/unesco/TableViewer/document.aspx?ReportId=143
data-source,UN Statistics Division: Social Indicators,"Indicators: child-bearing, child and elderly populations, contraceptive use, education, health, housing, human settlements, income and economic activity, literacy, population, unemployment, water supply and sanitation. 2012 data available.",,,http://unstats.un.org/unsd/demographic/products/socind/
data-source,UN Statistics Division: Social Indicators,"Note: As of 6/15 the page is undergoing revision, but remains accessible.",,,http://unstats.un.org/unsd/demographic/products/socind/
data-source,Amnesty International Annual Report 2012,"Reports on the status of human rights throughout the world. Report available on the Middle East and North Africa, including Algeria, Bahrain, Egypt, Iran, Iraq, Israel and the Occupied Palestinian Territories, Jordan, Kuwait, Lebanon, Libya, Morocco, etc",,,http://www.amnestyusa.org//static/gtr_site/air12-report-english.pdf
data-source,Political Terror Scale Annual Report,Gives a single score (1-5) rating a country’s political terror or freedom. Uses Amnesty International and the U.S. State Dept. as sources.,,,http://www.politicalterrorscale.org/
data-source,Human Rights Watch World Report,"Provides a concise report on the status of human rights in each country, listing each major country-specific problem and giving an assessment.",,,http://www.hrw.org/world-report-2012
data-source,Reporters Without Borders: Press Freedom Index,"Rates press freedom based on surveys of activists, scholars, and journalists worldwide. Rankings, methodology, and questionnaire available. Data from 2002 to 2010.",,,http://en.rsf.org/
data-source,Freedom House: Freedom of the Press,"The Freedom of the Press index an annual survey of media independence in 195 countries and territories. Experts determine ratings in conferring with professional contacts, press freedom organizations worldwide. Data from 2002 to now.",,,https://freedomhouse.org/report/freedom-press/freedom-press-2016
